"Step","cnn_bn-4 - val_loss","cnn_bn-4 - val_loss__MIN","cnn_bn-4 - val_loss__MAX","cnn_bn-3 - val_loss","cnn_bn-3 - val_loss__MIN","cnn_bn-3 - val_loss__MAX","cnn_bn-2 - val_loss","cnn_bn-2 - val_loss__MIN","cnn_bn-2 - val_loss__MAX","cnn_bn-1 - val_loss","cnn_bn-1 - val_loss__MIN","cnn_bn-1 - val_loss__MAX","cnn_bn-0 - val_loss","cnn_bn-0 - val_loss__MIN","cnn_bn-0 - val_loss__MAX"
"0","5.841109275817871","5.841109275817871","5.841109275817871","5.88735294342041","5.88735294342041","5.88735294342041","5.211430072784424","5.211430072784424","5.211430072784424","6.133516788482666","6.133516788482666","6.133516788482666","5.585990905761719","5.585990905761719","5.585990905761719"
"1","5.282955646514893","5.282955646514893","5.282955646514893","3.3741843700408936","3.3741843700408936","3.3741843700408936","2.094925880432129","2.094925880432129","2.094925880432129","2.987358570098877","2.987358570098877","2.987358570098877","3.3085131645202637","3.3085131645202637","3.3085131645202637"
"2","0.10291225463151932","0.10291225463151932","0.10291225463151932","1.7654340267181396","1.7654340267181396","1.7654340267181396","0.10700943320989609","0.10700943320989609","0.10700943320989609","7.8153157234191895","7.8153157234191895","7.8153157234191895","8.978196144104004","8.978196144104004","8.978196144104004"
"3","0.1260618269443512","0.1260618269443512","0.1260618269443512","0.1385960578918457","0.1385960578918457","0.1385960578918457","0.48223355412483215","0.48223355412483215","0.48223355412483215","0.08258723467588425","0.08258723467588425","0.08258723467588425","0.13473199307918549","0.13473199307918549","0.13473199307918549"
"4","1.2895934581756592","1.2895934581756592","1.2895934581756592","0.08656627684831619","0.08656627684831619","0.08656627684831619","4.366847038269043","4.366847038269043","4.366847038269043","0.08794096112251282","0.08794096112251282","0.08794096112251282","0.09116051346063614","0.09116051346063614","0.09116051346063614"
"5","0.1057368740439415","0.1057368740439415","0.1057368740439415","0.06269749999046326","0.06269749999046326","0.06269749999046326","0.0859827995300293","0.0859827995300293","0.0859827995300293","0.10805098712444305","0.10805098712444305","0.10805098712444305","0.18870413303375244","0.18870413303375244","0.18870413303375244"
"6","0.13260625302791595","0.13260625302791595","0.13260625302791595","0.09075204282999039","0.09075204282999039","0.09075204282999039","6.913607120513916","6.913607120513916","6.913607120513916","0.07758626341819763","0.07758626341819763","0.07758626341819763","9.073187828063965","9.073187828063965","9.073187828063965"
"7","3.224393844604492","3.224393844604492","3.224393844604492","0.08672799915075302","0.08672799915075302","0.08672799915075302","6.274265289306641","6.274265289306641","6.274265289306641","0.056852009147405624","0.056852009147405624","0.056852009147405624","0.42351585626602173","0.42351585626602173","0.42351585626602173"
"8","0.9556291103363037","0.9556291103363037","0.9556291103363037","0.07830303907394409","0.07830303907394409","0.07830303907394409","18.508007049560547","18.508007049560547","18.508007049560547","0.09246478229761124","0.09246478229761124","0.09246478229761124","4.9188971519470215","4.9188971519470215","4.9188971519470215"
"9","0.08751489967107773","0.08751489967107773","0.08751489967107773","4.12863826751709","4.12863826751709","4.12863826751709","0.20377501845359802","0.20377501845359802","0.20377501845359802","0.08199166506528854","0.08199166506528854","0.08199166506528854","0.0727616548538208","0.0727616548538208","0.0727616548538208"
