"Name","Runtime","model_type","seed","accuracy","best_epoch","best_val_loss","epoch","loss","lr","val_accuracy","val_loss","wrong_class","best_accuracy","best_val_accuracy"
"inc6-4","1409","inc6","4","0.9988800287246704","44","0.007045036181807518","64","0.0028536315076053143","3.000000106112566e-7","0.9962000250816344","0.008815706707537174","13","0.9980800151824952","0.9968000054359436"
"inc6-3","1324","inc6","3","0.9986799955368042","35","0.009425812400877476","60","0.002832394791767001","3.000000106112566e-7","0.996399998664856","0.01089244056493044","11","0.9979199767112732","0.996399998664856"
"inc6-2","1110","inc6","2","0.997759997844696","25","0.006410480476915836","50","0.004042394924908876","3.000000106112566e-7","0.9972000122070312","0.006706011015921831","11","0.9973999857902528","0.9972000122070312"
"inc6-1","1472","inc6","1","0.9990400075912476","42","0.009345706552267076","67","0.002414093120023608","3.000000106112566e-7","0.9965999722480774","0.010609658434987068","10","0.9983999729156494","0.996999979019165"
"inc6-0","1218","inc6","0","0.9986799955368042","30","0.007026001811027527","55","0.003109846729785204","3.000000106112566e-7","0.9965999722480774","0.007993839681148529","12","0.9979599714279176","0.9973999857902528"
"inc3-4","751","inc3","4","0.9994000196456908","30","0.011222626082599165","55","0.0015467272605746984","0.000003000000106112566","0.9954000115394592","0.012410342693328856","17","0.9966800212860109","0.9962000250816344"
"inc3-3","725","inc3","3","0.9990400075912476","28","0.010592875070869924","53","0.002699315780773759","3.000000106112566e-7","0.9954000115394592","0.011449313722550867","19","0.9983599781990052","0.9955999851226808"
"inc3-2","751","inc3","2","0.9991999864578248","30","0.011762957088649271","55","0.0018002070719376206","0.000003000000106112566","0.9950000047683716","0.016412202268838882","20","0.9967600107192992","0.9947999715805054"
"inc3-1","869","inc3","1","0.9990000128746032","39","0.00996494758874178","64","0.0022594472393393517","3.000000106112566e-7","0.9959999918937684","0.011728402227163317","18","0.9984800219535828","0.996399998664856"
"inc3-0","952","inc3","0","0.9989200234413148","45","0.01000586710870266","70","0.002404984552413225","3.000000106112566e-7","0.9958000183105468","0.0127080911770463","12","0.9984400272369384","0.9959999918937684"
"cnn_bn-4","443","cnn_bn","4","0.9990400075912476","40","0.0378325879573822","65","0.0028572839219123125","3.000000106112566e-7","0.9936000108718872","0.039643049240112305","50","0.9985600113868712","0.9941999912261964"
"cnn_bn-3","537","cnn_bn","3","0.9995200037956238","54","0.03437945619225502","79","0.0013228821335360408","3.000000106112566e-7","0.9940000176429749","0.036622319370508194","49","0.9991599917411804","0.9926000237464904"
"cnn_bn-2","360","cnn_bn","2","0.9988399744033812","27","0.029567072167992592","52","0.00521789351478219","3.000000106112566e-7","0.9936000108718872","0.03258615732192993","44","0.9973999857902528","0.9941999912261964"
"cnn_bn-1","452","cnn_bn","1","0.998960018157959","41","0.03208348527550697","66","0.003423432121053338","3.000000106112566e-7","0.9944000244140624","0.034816306084394455","33","0.99864000082016","0.9937999844551086"
"cnn_bn-0","341","cnn_bn","0","0.9984800219535828","24","0.03721200302243233","49","0.0049326857551932335","3.000000106112566e-7","0.9929999709129332","0.04263574630022049","45","0.9975200295448304","0.9944000244140624"
"resnet-4","2702","resnet","4","0.9995200037956238","21","0.009891536086797714","46","0.001305344863794744","3.000000106112566e-7","0.9955999851226808","0.011533459648489952","22","0.9989200234413148","0.9959999918937684"
"resnet-3","2792","resnet","3","0.9996399879455566","23","0.010293363593518734","48","0.0009022660087794064","3.000000106112566e-7","0.9958000183105468","0.014363761991262436","22","0.9986000061035156","0.9959999918937684"
"resnet-2","2571","resnet","2","0.9995999932289124","19","0.010939588770270348","44","0.001394052291288972","3.000000106112566e-7","0.9955999851226808","0.014384365640580654","20","0.9988399744033812","0.9962000250816344"
"resnet-1","3042","resnet","1","0.9998000264167786","27","0.01237931288778782","52","0.0007719753193669021","3.000000106112566e-7","0.996399998664856","0.01291813049465418","20","0.9989200234413148","0.9962000250816344"
"resnet-0","3043","resnet","0","0.9997599720954896","27","0.01261234749108553","52","0.0009214224410243332","3.000000106112566e-7","0.9954000115394592","0.013600315898656843","22","0.9984800219535828","0.9954000115394592"
"vgg-4","324","vgg","4","0.996999979019165","61","0.014678692445158958","86","0.005676019936800003","3.000000106112566e-7","0.9944000244140624","0.015416511334478855","16","0.996720016002655","0.994599997997284"
